"","seed","method","bias","rmse","coverage","n_images","n_annotators","male_prop_original","male_prop_biased"
"1",1,"Unweighted",0.217421751030977,0.859121146750646,0.902777777777778,72,144,0.5,0.652777777777778
"2",1,"Reweighted",0.221234098509539,0.865743028552539,0.902777777777778,72,144,0.5,0.652777777777778
"3",3,"Unweighted",0.234833839353515,0.849695490931688,0.851351351351351,74,144,0.5,0.631944444444444
"4",3,"Reweighted",0.215696700497191,0.871761435864264,0.837837837837838,74,144,0.5,0.631944444444444
"5",5,"Unweighted",0.174633352824407,0.718414307029584,0.931506849315068,73,144,0.5,0.645833333333333
"6",5,"Reweighted",0.159086712885811,0.709793593598086,0.917808219178082,73,144,0.5,0.645833333333333
"7",7,"Unweighted",0.243088800039262,0.8803818708181,0.82051282051282,78,144,0.5,0.666666666666667
"8",7,"Reweighted",0.237937683066072,0.91564809933964,0.846153846153846,78,144,0.5,0.666666666666667
"9",9,"Unweighted",0.177313746740884,0.886876486342637,0.893333333333333,75,144,0.5,0.631944444444444
"10",9,"Reweighted",0.110854608488273,0.885782414778496,0.893333333333333,75,144,0.5,0.631944444444444
"11",10,"Unweighted",-0.0617885359142204,0.900734978874884,0.868421052631579,76,144,0.5,0.666666666666667
"12",10,"Reweighted",-0.0968841679112924,0.997065404532527,0.828947368421053,76,144,0.5,0.666666666666667
"13",15,"Unweighted",0.163273994793423,0.970655477104545,0.833333333333333,78,144,0.5,0.652777777777778
"14",15,"Reweighted",0.121769918973088,0.994433746118756,0.807692307692308,78,144,0.5,0.652777777777778
"15",16,"Unweighted",0.194922940459401,0.99991199208857,0.805194805194805,77,144,0.5,0.652777777777778
"16",16,"Reweighted",0.12831065871242,1.01082672241708,0.844155844155844,77,144,0.5,0.652777777777778
"17",17,"Unweighted",-0.104830706888271,0.974573515016141,0.802631578947368,76,144,0.5,0.680555555555556
"18",17,"Reweighted",-0.0898071561800928,0.988654888722751,0.855263157894737,76,144,0.5,0.680555555555556
"19",18,"Unweighted",0.295551121294897,0.865111432314233,0.853333333333333,75,144,0.5,0.652777777777778
"20",18,"Reweighted",0.239716530541845,0.905003339557058,0.813333333333333,75,144,0.5,0.652777777777778
"21",19,"Unweighted",0.126793189715997,0.887864641262346,0.893333333333333,75,144,0.5,0.611111111111111
"22",19,"Reweighted",0.165947538886624,0.907523105896763,0.893333333333333,75,144,0.5,0.611111111111111
"23",20,"Unweighted",0.00826682235804569,0.766099164341289,0.837837837837838,74,144,0.5,0.652777777777778
"24",20,"Reweighted",-0.0736268213293992,0.825385856531844,0.864864864864865,74,144,0.5,0.652777777777778
"25",21,"Unweighted",0.0105824439454895,0.814772451323568,0.884615384615385,78,144,0.5,0.618055555555556
"26",21,"Reweighted",0.00273636163181406,0.822153405991462,0.897435897435897,78,144,0.5,0.618055555555556
"27",25,"Unweighted",0.167934062935079,0.912692645131494,0.826666666666667,75,144,0.5,0.631944444444444
"28",25,"Reweighted",0.18055232813394,0.938448682015024,0.853333333333333,75,144,0.5,0.631944444444444
"29",26,"Unweighted",0.1915262953531,1.0115345816564,0.79746835443038,79,144,0.5,0.666666666666667
"30",26,"Reweighted",0.139774720578434,1.0840248491723,0.810126582278481,79,144,0.5,0.666666666666667
"31",27,"Unweighted",0.118586524691506,0.985109092953569,0.807692307692308,78,144,0.5,0.631944444444444
"32",27,"Reweighted",0.0979035756495078,1.01890631398364,0.833333333333333,78,144,0.5,0.631944444444444
"33",30,"Unweighted",0.180396783471086,1.02875296845461,0.805555555555556,72,144,0.5,0.645833333333333
"34",30,"Reweighted",0.19393893402118,1.03961852536957,0.819444444444444,72,144,0.5,0.645833333333333
"35",31,"Unweighted",0.188194450054023,0.732449703914348,0.896103896103896,77,144,0.5,0.631944444444444
"36",31,"Reweighted",0.125615734461946,0.757045092626819,0.896103896103896,77,144,0.5,0.631944444444444
"37",32,"Unweighted",0.14234353176111,0.896787894808103,0.8625,80,144,0.5,0.673611111111111
"38",32,"Reweighted",0.146782325127861,0.927885838046928,0.85,80,144,0.5,0.673611111111111
"39",35,"Unweighted",0.0334366495367395,0.917241017252164,0.7875,80,144,0.5,0.673611111111111
"40",35,"Reweighted",-0.0563575949787622,0.942159500773538,0.8375,80,144,0.5,0.673611111111111
"41",36,"Unweighted",0.157056112550257,0.919590048826854,0.833333333333333,72,144,0.5,0.638888888888889
"42",36,"Reweighted",0.168558291428416,0.944511025262507,0.819444444444444,72,144,0.5,0.638888888888889
"43",37,"Unweighted",0.28364113065691,0.824754064877514,0.891891891891892,74,144,0.5,0.652777777777778
"44",37,"Reweighted",0.256563308050449,0.857952557904591,0.851351351351351,74,144,0.5,0.652777777777778
"45",39,"Unweighted",0.10838811025683,0.917956640612635,0.810810810810811,74,144,0.5,0.673611111111111
"46",39,"Reweighted",0.0511935364034392,0.921525064908349,0.837837837837838,74,144,0.5,0.673611111111111
"47",40,"Unweighted",-0.113415549621844,0.938168792462035,0.853333333333333,75,144,0.5,0.652777777777778
"48",40,"Reweighted",-0.181325427463115,0.951681710216265,0.84,75,144,0.5,0.652777777777778
"49",41,"Unweighted",0.00258299630592593,0.887349080941214,0.8,75,144,0.5,0.645833333333333
"50",41,"Reweighted",-0.0183522965004975,0.995753577601742,0.786666666666667,75,144,0.5,0.645833333333333
"51",42,"Unweighted",0.191497594176751,0.797444572237496,0.876712328767123,73,144,0.5,0.652777777777778
"52",42,"Reweighted",0.164655622542916,0.87088510274678,0.835616438356164,73,144,0.5,0.652777777777778
"53",43,"Unweighted",0.312359882838081,0.965500817287711,0.849315068493151,73,144,0.5,0.666666666666667
"54",43,"Reweighted",0.262855299681976,0.984579647942976,0.849315068493151,73,144,0.5,0.666666666666667
"55",44,"Unweighted",0.00352880190434565,0.807552253871385,0.896103896103896,77,144,0.5,0.666666666666667
"56",44,"Reweighted",-0.0217592676435055,0.836800822895564,0.909090909090909,77,144,0.5,0.666666666666667
"57",45,"Unweighted",0.219297695866231,0.860981498117186,0.786666666666667,75,144,0.5,0.638888888888889
"58",45,"Reweighted",0.187490119403674,0.928427504581947,0.786666666666667,75,144,0.5,0.638888888888889
"59",46,"Unweighted",-0.105873707770624,0.822673300884982,0.89873417721519,79,144,0.5,0.638888888888889
"60",46,"Reweighted",-0.159367425849961,0.828146466611242,0.911392405063291,79,144,0.5,0.638888888888889
